Age,Gender,Profession,Marital_status,Education,No_of_Dependents,Personal_loan,House_loan,Partner_working,Salary,Partner_salary,Total_salary,Price,Make
52.0,Male,Business,Married,Post Graduate,2,Yes,No,Yes,89800.0,40500.0,130300.0,53000.0,SUV
52.0,Male,Business,Single,Post Graduate,2,No,No,No,89900.0,0.0,89900.0,62000.0,SUV
52.0,Male,Salaried,Married,Post Graduate,4,No,No,No,88700.0,0.0,88700.0,64000.0,SUV
52.0,Female,Salaried,Married,Post Graduate,2,No,No,No,88900.0,0.0,88900.0,54000.0,SUV
52.0,Female,Salaried,Married,Post Graduate,3,No,No,No,83300.0,0.0,83300.0,52000.0,SUV
52.0,Female,Salaried,Married,Post Graduate,3,No,No,No,79000.0,0.0,79000.0,57000.0,SUV
52.0,Female,Salaried,Married,Post Graduate,2,No,No,No,77500.0,0.0,77500.0,58000.0,SUV
52.0,Male,Salaried,Married,Graduate,3,No,No,No,76800.0,0.0,76800.0,53000.0,SUV
51.0,Male,Salaried,Married,Post Graduate,3,No,No,Yes,92600.0,60900.0,149000.0,55000.0,SUV
51.0,Male,Salaried,Married,Graduate,3,No,No,Yes,71700.0,60200.0,131900.0,55000.0,SUV
51.0,Male,Salaried,Married,Post Graduate,2,No,No,Yes,89500.0,40200.0,129700.0,60000.0,SUV
51.0,Female,Business,Married,Graduate,3,No,No,Yes,76800.0,45000.0,121800.0,51000.0,SUV
51.0,Male,Salaried,Married,Graduate,3,Yes,No,Yes,77000.0,40600.0,117600.0,57000.0,SUV
51.0,Male,Salaried,Married,Post Graduate,4,No,No,No,86000.0,0.0,86000.0,67000.0,SUV
51.0,Male,Salaried,Single,Post Graduate,0,Yes,No,No,86900.0,0.0,86900.0,51000.0,SUV
51.0,Female,Business,Married,Post Graduate,3,Yes,No,No,85900.0,0.0,85900.0,51000.0,SUV
51.0,Male,Business,Married,Post Graduate,2,No,No,No,79900.0,0.0,79900.0,63000.0,SUV
51.0,Male,Salaried,Married,Post Graduate,3,No,No,No,78400.0,0.0,78400.0,66000.0,SUV
51.0,Male,Salaried,Married,Graduate,4,No,No,No,74800.0,0.0,74800.0,64000.0,SUV
50.0,Female,Salaried,Married,Post Graduate,4,Yes,No,Yes,99300.0,70000.0,149000.0,66000.0,SUV
50.0,Male,Salaried,Married,Post Graduate,3,Yes,No,Yes,98600.0,60500.0,149000.0,56000.0,SUV
50.0,Male,Salaried,Married,Graduate,3,No,No,Yes,76100.0,50700.0,126800.0,53000.0,SUV
50.0,Male,Business,Married,Post Graduate,2,Yes,No,No,82700.0,0.0,82700.0,61000.0,SUV
50.0,Male,Salaried,Married,Graduate,4,No,No,No,72000.0,0.0,72000.0,70000.0,SUV
49.0,Male,Business,Married,Graduate,4,No,No,Yes,92300.0,70000.0,149000.0,67000.0,SUV
49.0,Female,Salaried,Married,Post Graduate,3,No,No,Yes,80600.0,40600.0,121200.0,69000.0,SUV
49.0,Female,Business,Married,Post Graduate,3,No,No,No,87500.0,0.0,87500.0,53000.0,SUV
49.0,Male,Salaried,Married,Post Graduate,4,No,No,No,80100.0,0.0,80100.0,64000.0,SUV
49.0,Female,Salaried,Married,Post Graduate,3,No,No,No,78700.0,0.0,78700.0,68000.0,SUV
49.0,Female,Business,Married,Post Graduate,4,No,No,No,78100.0,0.0,78100.0,65000.0,SUV
49.0,Male,Salaried,Married,Post Graduate,3,No,No,No,78200.0,0.0,78200.0,58000.0,SUV
49.0,Male,Salaried,Single,Graduate,2,Yes,No,No,77600.0,0.0,77600.0,67000.0,SUV
48.0,Female,Business,Married,Graduate,3,No,No,Yes,90300.0,20225.5593220339,149000.0,62000.0,SUV
48.0,Female,Salaried,Married,Graduate,2,No,No,Yes,77900.0,60300.0,138200.0,53000.0,SUV
48.0,Male,Salaried,Married,Post Graduate,2,Yes,No,No,82300.0,0.0,82300.0,59000.0,SUV
48.0,Male,Salaried,Married,Post Graduate,2,No,No,No,60276.91326530613,0.0,81600.0,65000.0,SUV
48.0,Female,Salaried,Married,Post Graduate,3,No,No,No,78000.0,20225.5593220339,78000.0,59000.0,SUV
47.0,Male,Business,Married,Graduate,4,Yes,No,Yes,86000.0,80500.0,149000.0,69000.0,SUV
47.0,Male,Salaried,Married,Graduate,2,No,No,Yes,86100.0,70800.0,149000.0,58000.0,SUV
47.0,Female,Salaried,Married,Graduate,3,No,No,Yes,79000.0,50400.0,129400.0,52000.0,SUV
47.0,Male,Business,Married,Post Graduate,2,No,No,Yes,86600.0,40400.0,127000.0,68000.0,SUV
47.0,Female,Salaried,Married,Graduate,1,Yes,No,Yes,77800.0,40300.0,118100.0,69000.0,SUV
47.0,Male,Business,Married,Post Graduate,4,Yes,No,Yes,89500.0,27700.0,117200.0,62000.0,SUV
47.0,Female,Business,Married,Graduate,3,Yes,No,Yes,76300.0,40600.0,116900.0,61000.0,SUV
47.0,Female,Salaried,Married,Graduate,3,No,No,Yes,76200.0,35800.0,112000.0,63000.0,SUV
47.0,Female,Salaried,Married,Post Graduate,3,No,No,Yes,78000.0,26600.0,104600.0,57000.0,SUV
47.0,Male,Salaried,Single,Post Graduate,2,Yes,No,No,87200.0,0.0,87200.0,49000.0,SUV
47.0,Female,Salaried,Married,Post Graduate,3,No,No,No,81200.0,0.0,81200.0,58000.0,SUV
47.0,Female,Business,Married,Post Graduate,3,Yes,No,No,60276.91326530613,0.0,80600.0,69000.0,SUV
47.0,Female,Business,Single,Graduate,0,Yes,No,No,73300.0,0.0,73300.0,50000.0,SUV
47.0,Male,Salaried,Married,Graduate,3,No,No,No,71700.0,0.0,71700.0,51000.0,SUV
46.0,Female,Salaried,Married,Post Graduate,3,No,No,Yes,98900.0,60000.0,149000.0,56000.0,SUV
46.0,Male,Salaried,Married,Post Graduate,3,Yes,No,Yes,97700.0,60000.0,149000.0,58000.0,SUV
46.0,Male,Salaried,Married,Post Graduate,2,No,No,Yes,82200.0,40900.0,123100.0,66000.0,SUV
46.0,Female,Salaried,Married,Graduate,3,No,No,Yes,72600.0,900.0,73500.0,51000.0,SUV
46.0,Female,Business,Married,Graduate,3,No,No,Yes,74200.0,27900.0,102100.0,52000.0,SUV
46.0,Female,Salaried,Married,Post Graduate,3,Yes,No,No,90700.0,0.0,90700.0,50000.0,SUV
46.0,Female,Salaried,Married,Post Graduate,3,No,No,No,60276.91326530613,0.0,84000.0,31000.0,SUV
46.0,Female,Business,Married,Post Graduate,3,No,No,No,84800.0,0.0,84800.0,57000.0,SUV
46.0,Female,Salaried,Single,Post Graduate,0,Yes,No,No,60276.91326530613,0.0,80200.0,49000.0,SUV
46.0,Male,Salaried,Married,Post Graduate,2,Yes,No,No,79200.0,0.0,79200.0,50000.0,SUV
46.0,Female,Salaried,Married,Graduate,4,No,No,No,70400.0,0.0,70400.0,49000.0,SUV
45.0,Male,Salaried,Married,Post Graduate,3,Yes,No,Yes,71000.0,60800.0,131800.0,57000.0,SUV
45.0,Female,Salaried,Married,Post Graduate,1,Yes,No,Yes,84300.0,40000.0,124300.0,43000.0,Sedan
45.0,Female,Salaried,Married,Graduate,4,Yes,No,Yes,53800.0,70100.0,123900.0,64000.0,SUV
45.0,Male,Salaried,Married,Post Graduate,2,No,Yes,Yes,85200.0,38100.0,123300.0,53000.0,Sedan
45.0,Female,Salaried,Married,Post Graduate,2,No,Yes,Yes,85600.0,38200.0,123800.0,47000.0,Sedan
45.0,Female,Salaried,Married,Post Graduate,1,Yes,No,Yes,80400.0,40400.0,120800.0,37000.0,SUV
45.0,Female,Salaried,Married,Post Graduate,2,No,Yes,Yes,79700.0,40300.0,120000.0,52000.0,Sedan
45.0,Male,Business,Married,Post Graduate,2,Yes,No,Yes,77100.0,40900.0,118000.0,35000.0,Sedan
45.0,Male,Salaried,Married,Post Graduate,2,Yes,Yes,Yes,76000.0,40200.0,116200.0,42000.0,Sedan
45.0,Female,Business,Married,Post Graduate,2,Yes,No,Yes,82300.0,30200.0,112500.0,33000.0,Sedan
45.0,Male,Salaried,Married,Post Graduate,4,No,No,Yes,71700.0,40600.0,112300.0,61000.0,SUV
45.0,Male,Salaried,Married,Post Graduate,2,Yes,Yes,Yes,71800.0,38500.0,110300.0,43000.0,Sedan
45.0,Female,Salaried,Married,Graduate,2,No,Yes,Yes,64400.0,40400.0,104800.0,37000.0,SUV
45.0,Female,Salaried,Married,Post Graduate,2,No,No,Yes,73000.0,30000.0,103000.0,34000.0,Sedan
45.0,Male,Salaried,Married,Graduate,3,No,No,Yes,49600.0,50900.0,100500.0,52000.0,SUV
45.0,Female,Salaried,Married,Graduate,1,Yes,No,Yes,61300.0,35100.0,96400.0,40000.0,SUV
45.0,Female,Business,Married,Graduate,3,No,No,Yes,50500.0,40900.0,91400.0,62000.0,SUV
45.0,Female,Salaried,Married,Post Graduate,2,No,No,No,78100.0,0.0,78100.0,52000.0,SUV
45.0,Male,Salaried,Married,Post Graduate,1,Yes,No,No,78600.0,0.0,78600.0,50000.0,Sedan
45.0,Female,Salaried,Single,Post Graduate,1,No,No,No,77000.0,0.0,77000.0,40000.0,Sedan
45.0,Female,Salaried,Married,Post Graduate,1,No,Yes,No,73100.0,0.0,73100.0,36000.0,SUV
45.0,Female,Salaried,Married,Graduate,3,Yes,No,No,72500.0,0.0,72500.0,51000.0,SUV
45.0,Male,Salaried,Married,Post Graduate,1,Yes,Yes,No,71300.0,20225.5593220339,71300.0,42000.0,Sedan
45.0,Male,Business,Married,Graduate,1,Yes,No,No,56700.0,20225.5593220339,56700.0,54000.0,Sedan
45.0,Male,Salaried,Married,Graduate,2,No,No,No,55100.0,20225.5593220339,55100.0,65000.0,SUV
45.0,Male,Business,Married,Graduate,4,No,No,No,55500.0,0.0,55500.0,61000.0,SUV
45.0,Female,Salaried,Single,Graduate,2,Yes,No,No,60276.91326530613,0.0,55700.0,36000.0,Sedan
45.0,Female,Salaried,Married,Graduate,2,No,No,No,54000.0,0.0,54000.0,54000.0,Sedan
44.0,Female,Salaried,Married,Graduate,3,Yes,No,Yes,55900.0,70300.0,126200.0,59000.0,SUV
44.0,Male,Salaried,Married,Post Graduate,1,Yes,No,Yes,85300.0,38700.0,124000.0,41000.0,Sedan
44.0,Female,Business,Married,Post Graduate,2,Yes,Yes,Yes,81500.0,40600.0,122100.0,37000.0,Sedan
44.0,Female,Business,Married,Graduate,4,No,No,Yes,48600.0,70800.0,119400.0,67000.0,SUV
44.0,Male,Business,Married,Post Graduate,2,No,No,Yes,80000.0,38300.0,118300.0,41000.0,Sedan
44.0,Male,Business,Married,Post Graduate,1,Yes,Yes,Yes,79700.0,38900.0,118600.0,41000.0,Sedan
44.0,Male,Salaried,Married,Graduate,3,No,No,Yes,46900.0,70600.0,117500.0,59000.0,SUV
44.0,Female,Salaried,Married,Post Graduate,2,No,No,Yes,76000.0,40200.0,116200.0,50000.0,Sedan
44.0,Female,Business,Married,Post Graduate,1,Yes,Yes,Yes,76500.0,38100.0,114600.0,48000.0,Sedan
44.0,Male,Business,Married,Post Graduate,1,Yes,No,Yes,73600.0,40100.0,113700.0,44000.0,Sedan
44.0,Male,Business,Married,Post Graduate,1,Yes,No,Yes,74600.0,38700.0,113300.0,44000.0,Sedan
44.0,Female,Business,Married,Post Graduate,2,Yes,Yes,Yes,71600.0,38900.0,110500.0,43000.0,Sedan
44.0,Male,Business,Married,Post Graduate,2,Yes,No,Yes,79400.0,23200.0,102600.0,50000.0,Sedan
44.0,Male,Business,Married,Graduate,2,No,No,Yes,57300.0,38200.0,95500.0,49000.0,Sedan
44.0,Female,Salaried,Married,Graduate,2,No,Yes,Yes,56500.0,38700.0,95200.0,41000.0,SUV
44.0,Female,Business,Married,Graduate,2,Yes,No,Yes,54200.0,40300.0,94500.0,35000.0,Sedan
44.0,Female,Business,Married,Post Graduate,2,Yes,Yes,No,85900.0,0.0,85900.0,49000.0,SUV
44.0,Female,Salaried,Married,Graduate,1,Yes,No,Yes,60200.0,24700.0,84900.0,41000.0,Sedan
44.0,Female,Business,Single,Post Graduate,2,No,No,No,84000.0,0.0,84000.0,31000.0,Sedan
44.0,Male,Salaried,Married,Post Graduate,1,Yes,No,No,83300.0,0.0,83300.0,54000.0,Sedan
44.0,Female,Salaried,Married,Post Graduate,1,No,No,No,83800.0,0.0,83800.0,53000.0,Sedan
44.0,Male,Business,Single,Post Graduate,2,No,No,No,82500.0,0.0,82500.0,44000.0,Sedan
44.0,Female,Salaried,Married,Graduate,1,Yes,No,Yes,50500.0,30800.0,81300.0,32000.0,Sedan
44.0,Male,Business,Married,Post Graduate,1,Yes,No,No,79300.0,0.0,79300.0,33000.0,Sedan
44.0,Male,Salaried,Married,Graduate,3,No,No,Yes,50300.0,28100.0,78400.0,60000.0,SUV
44.0,Male,Salaried,Married,Post Graduate,1,Yes,No,No,77200.0,0.0,77200.0,39000.0,Sedan
44.0,Female,Salaried,Married,Post Graduate,1,Yes,No,No,76700.0,0.0,76700.0,51000.0,SUV
44.0,Male,Salaried,Single,Post Graduate,2,Yes,No,No,76300.0,0.0,76300.0,31000.0,Sedan
44.0,Female,Business,Single,Post Graduate,1,Yes,No,No,73200.0,0.0,73200.0,52000.0,Sedan
44.0,Male,Business,Single,Post Graduate,2,No,Yes,No,73400.0,0.0,73400.0,33000.0,Sedan
44.0,Male,Salaried,Married,Post Graduate,3,No,No,No,72600.0,0.0,72600.0,53000.0,SUV
44.0,Male,Salaried,Married,Post Graduate,1,No,Yes,No,72800.0,0.0,72800.0,42000.0,Sedan
44.0,Male,Salaried,Single,Post Graduate,2,No,No,No,70100.0,0.0,70100.0,68000.0,SUV
44.0,Male,Salaried,Married,Post Graduate,2,Yes,No,No,69600.0,0.0,69600.0,57000.0,SUV
44.0,Male,Salaried,Single,Post Graduate,0,Yes,No,No,68600.0,0.0,68600.0,50000.0,SUV
44.0,Female,Business,Married,Graduate,1,Yes,No,No,65400.0,0.0,65400.0,45000.0,SUV
44.0,Male,Salaried,Married,Graduate,2,No,Yes,No,57100.0,20225.5593220339,57100.0,51000.0,Sedan
44.0,Female,Salaried,Married,Graduate,1,Yes,No,No,54600.0,0.0,54600.0,49000.0,SUV
44.0,Female,Salaried,Married,Graduate,2,No,No,No,60276.91326530613,0.0,50400.0,65000.0,SUV
44.0,Female,Business,Single,Graduate,2,No,No,No,60276.91326530613,0.0,49200.0,54000.0,SUV
43.0,Female,Salaried,Married,Graduate,4,Yes,No,Yes,53400.0,20225.5593220339,123900.0,64000.0,SUV
43.0,Female,Business,Married,Post Graduate,1,Yes,No,Yes,84900.0,38300.0,123200.0,45000.0,SUV
43.0,Female,Business,Married,Post Graduate,1,Yes,No,Yes,81500.0,40700.0,122200.0,35000.0,Sedan
43.0,Male,Salaried,Married,Post Graduate,1,No,Yes,Yes,77800.0,40800.0,118600.0,39000.0,Sedan
43.0,Male,Salaried,Married,Post Graduate,2,No,No,Yes,77700.0,38400.0,116100.0,42000.0,Sedan
43.0,Male,Business,Married,Post Graduate,1,Yes,Yes,Yes,76100.0,38000.0,114100.0,52000.0,Sedan
43.0,Male,Salaried,Married,Post Graduate,2,Yes,No,Yes,75200.0,38300.0,113500.0,46000.0,Sedan
43.0,Female,Salaried,Married,Graduate,2,No,No,Yes,52100.0,60000.0,112100.0,58000.0,SUV
43.0,Male,Salaried,Married,Post Graduate,1,Yes,No,Yes,84000.0,23100.0,107100.0,50000.0,Sedan
43.0,Male,Salaried,Married,Post Graduate,2,No,No,Yes,75300.0,30100.0,105400.0,31000.0,Sedan
43.0,Male,Business,Married,Graduate,2,No,No,Yes,62700.0,40800.0,103500.0,39000.0,Sedan
43.0,Male,Business,Married,Graduate,1,Yes,No,Yes,59000.0,38000.0,97000.0,46000.0,Sedan
43.0,Male,Salaried,Married,Graduate,1,Yes,Yes,Yes,58100.0,38400.0,96500.0,51000.0,Sedan
43.0,Male,Business,Married,Graduate,1,No,No,Yes,57400.0,38200.0,95600.0,54000.0,Sedan
43.0,Male,Salaried,Married,Graduate,4,No,No,Yes,51600.0,40500.0,92100.0,69000.0,SUV
43.0,Male,Salaried,Married,Graduate,2,No,No,Yes,52700.0,38500.0,91200.0,53000.0,Sedan
43.0,Male,Business,Married,Graduate,2,No,Yes,Yes,56900.0,30200.0,87100.0,32000.0,Sedan
43.0,Male,Business,Married,Post Graduate,2,Yes,Yes,No,82600.0,0.0,82600.0,32000.0,Sedan
43.0,Male,Salaried,Married,Post Graduate,1,Yes,Yes,No,78100.0,0.0,78100.0,55000.0,Sedan
43.0,Female,Salaried,Married,Post Graduate,1,No,Yes,No,78000.0,0.0,78000.0,32000.0,Sedan
43.0,Female,Salaried,Married,Graduate,2,Yes,No,Yes,52900.0,25700.0,78600.0,39000.0,SUV
43.0,Male,Business,Single,Post Graduate,1,Yes,No,No,75300.0,0.0,75300.0,47000.0,Sedan
43.0,Female,Salaried,Married,Post Graduate,1,No,No,No,75300.0,0.0,75300.0,47000.0,Sedan
43.0,Female,Salaried,Married,Post Graduate,3,No,No,No,72900.0,0.0,72900.0,57000.0,SUV
43.0,Female,Business,Single,Post Graduate,2,Yes,No,No,72600.0,0.0,72600.0,46000.0,Sedan
43.0,Female,Business,Married,Graduate,2,No,No,No,71100.0,0.0,71100.0,62000.0,SUV
43.0,Male,Salaried,Single,Post Graduate,2,Yes,No,No,71800.0,0.0,71800.0,47000.0,Sedan
43.0,Female,Business,Married,Graduate,1,Yes,Yes,No,62300.0,0.0,62300.0,32000.0,Sedan
43.0,Female,Salaried,Married,Graduate,1,Yes,No,No,61600.0,0.0,61600.0,42000.0,Sedan
43.0,Male,Salaried,Married,Graduate,4,Yes,No,No,54500.0,20225.5593220339,54500.0,69000.0,SUV
43.0,Male,Salaried,Married,Graduate,1,Yes,No,No,54900.0,0.0,54900.0,35000.0,Sedan
43.0,Male,Salaried,Married,Graduate,1,Yes,No,No,53600.0,0.0,53600.0,48000.0,Sedan
43.0,Male,Salaried,Single,Graduate,2,Yes,No,No,53300.0,20225.5593220339,53300.0,33000.0,Sedan
43.0,Male,Business,Married,Graduate,2,Yes,No,No,51600.0,0.0,51600.0,34000.0,Sedan
42.0,Male,Salaried,Married,Post Graduate,1,Yes,Yes,Yes,85400.0,40100.0,125500.0,43000.0,Sedan
42.0,Male,Salaried,Married,Post Graduate,3,No,No,Yes,74500.0,50700.0,125200.0,50000.0,SUV
42.0,Male,Salaried,Married,Post Graduate,2,No,Yes,Yes,83800.0,38300.0,122100.0,50000.0,Sedan
42.0,Female,Salaried,Married,Graduate,4,No,No,Yes,50100.0,70400.0,120500.0,65000.0,SUV
42.0,Female,Salaried,Married,Post Graduate,2,Yes,Yes,Yes,80200.0,40800.0,121000.0,39000.0,SUV
42.0,Male,Salaried,Married,Post Graduate,2,No,No,Yes,78500.0,40700.0,119200.0,37000.0,Sedan
42.0,Male,Salaried,Married,Post Graduate,2,Yes,No,Yes,75500.0,200.0,75700.0,33000.0,Sedan
42.0,Female,Business,Married,Post Graduate,2,No,No,Yes,74700.0,40800.0,115500.0,38000.0,Sedan
42.0,Female,Salaried,Married,Post Graduate,2,No,No,Yes,73800.0,38300.0,112100.0,53000.0,Sedan
